host,vacuum,difference_core,difference_shoulder,difference_total,aligned
1.550000000000e-01,9.759750000000e-01,6.776712962318e-01,8.300297267677e-01,1.507701023000e+00,2.219183875090e-01
1.560000000000e-01,9.756640000000e-01,6.742244401972e-01,8.401284208419e-01,1.514352861039e+00,2.244579790328e-01
1.570000000000e-01,9.753510000000e-01,6.707720179827e-01,8.502753166916e-01,1.521047334674e+00,2.270056656593e-01
1.580000000000e-01,9.750360000000e-01,6.673142734651e-01,8.604700901482e-01,1.527784363613e+00,2.295613026747e-01
1.590000000000e-01,9.747190000000e-01,6.638514499927e-01,8.707124149318e-01,1.534563864925e+00,2.321247448687e-01
1.600000000000e-01,9.744000000000e-01,6.603837903587e-01,8.810019626518e-01,1.541385753010e+00,2.346958465414e-01
1.610000000000e-01,9.740790000000e-01,6.569115367741e-01,8.913384028079e-01,1.548249939582e+00,2.372744615113e-01
1.620000000000e-01,9.737560000000e-01,6.534349308416e-01,9.017214027906e-01,1.555156333632e+00,2.398604431232e-01
1.630000000000e-01,9.734310000000e-01,6.499542135290e-01,9.121506278821e-01,1.562104841411e+00,2.424536442563e-01
1.640000000000e-01,9.731040000000e-01,6.464696251433e-01,9.226257412566e-01,1.569095366400e+00,2.450539173314e-01
1.650000000000e-01,9.727750000000e-01,6.429814053047e-01,9.331464039820e-01,1.576127809287e+00,2.476611143194e-01
1.660000000000e-01,9.724440000000e-01,6.394897929208e-01,9.437122750200e-01,1.583202067941e+00,2.502750867493e-01
1.670000000000e-01,9.721110000000e-01,6.359950261611e-01,9.543230112275e-01,1.590318037389e+00,2.528956857157e-01
1.680000000000e-01,9.717760000000e-01,6.324973424317e-01,9.649782673575e-01,1.597475609789e+00,2.555227618870e-01
1.690000000000e-01,9.714390000000e-01,6.289969783501e-01,9.756776960602e-01,1.604674674410e+00,2.581561655139e-01
1.700000000000e-01,9.711000000000e-01,6.254941697203e-01,9.864209478840e-01,1.611915117604e+00,2.607957464369e-01
1.710000000000e-01,9.707590000000e-01,6.219891515082e-01,9.972076712768e-01,1.619196822785e+00,2.634413540947e-01
1.720000000000e-01,9.704160000000e-01,6.184821578168e-01,1.008037512587e+00,1.626519670404e+00,2.660928375323e-01
